sample;type
E10;Beetle
E12;Beetle
E13;Beetle
E14;Beetle
E15;Beetle
E17;Beetle
E18;Beetle
E19;Beetle
E20;Beetle
E21;Beetle
E22;Beetle
E23;Beetle
E24;Beetle
E25;Beetle
E26;Beetle
E27;Beetle
E29;Beetle
E2;Beetle
E30;Beetle
E31;Beetle
E32;Beetle
E33;Beetle
E34;Beetle
E35;Beetle
E36;Beetle
E37;Beetle
E39;Beetle
E3;Beetle
E41;Beetle
E42;Beetle
E43;Beetle
E44;Beetle
E45;Beetle
E46;Beetle
E47;Beetle
E48;Beetle
E51;Beetle
E53;Beetle
E54;Beetle
E56;Beetle
E57;Beetle
E58;Beetle
E59;Beetle
E5;Beetle
E60;Beetle
E6;Beetle
E7;Beetle
E8;Beetle
E9;Beetle
LOE;Beetle
POM;Beetle
P10;Leaf
P12;Leaf
P13;Leaf
P14;Leaf
P18;Leaf
P20;Leaf
P22;Leaf
P25;Leaf
P28;Leaf
P32;Leaf
P34;Leaf
P37;Leaf
P39;Leaf
P40;Leaf
P46;Leaf
P47;Leaf
P51;Leaf
P54;Leaf
P55;Leaf
P56;Leaf
P58;Leaf
P59;Leaf
P8;Leaf
U26;Leaf
