sample;type;group
k1_3;Beetle;1
k1_1;Beetle;1
k1_2;Beetle;1
k1_5;Beetle;1
k10_1;Beetle;10
k10_2;Beetle;10
k10_3;Beetle;10
k10_4;Beetle;10
k10_5;Beetle;10
k11_1;Beetle;11
k11_2;Beetle;11
k11_3;Beetle;11
k11_4;Beetle;11
k11_5;Beetle;11
k12_1;Beetle;12
k12_2;Beetle;12
k12_3;Beetle;12
k12_4;Beetle;12
k12_5;Beetle;12
k13_1;Beetle;13
k13_2;Beetle;13
k13_3;Beetle;13
k13_4;Beetle;13
k13_5;Beetle;13
k14_1;Beetle;14
k14_2;Beetle;14
k14_3;Beetle;14
k14_4;Beetle;14
k15_1;Beetle;15
k15_2;Beetle;15
k15_3;Beetle;15
k15_4;Beetle;15
k15_5;Beetle;15
k16_1;Beetle;16
k16_2;Beetle;16
k16_3;Beetle;16
k16_4;Beetle;16
k16_5;Beetle;16
k17_1;Beetle;17
k17_2;Beetle;17
k17_3;Beetle;17
k17_4;Beetle;17
k17_5;Beetle;17
k18_1;Beetle;18
k18_2;Beetle;18
k18_3;Beetle;18
k18_4;Beetle;18
k18_5;Beetle;18
k19_1;Beetle;19
k19_2;Beetle;19
k19_3;Beetle;19
k19_4;Beetle;19
k19_5;Beetle;19
k2_1;Beetle;2
k2_2;Beetle;2
k2_4;Beetle;2
k2_5;Beetle;2
k20_1;Beetle;20
k20_2;Beetle;20
k20_3;Beetle;20
k20_4;Beetle;20
k20_5;Beetle;20
k3_1;Beetle;3
k3_3;Beetle;3
k3_5;Beetle;3
k4_1;Beetle;4
k4_2;Beetle;4
k4_3;Beetle;4
k4_4;Beetle;4
k4_5;Beetle;4
k5_1;Beetle;5
k5_2;Beetle;5
k5_3;Beetle;5
k5_4;Beetle;5
k5_5;Beetle;5
k6_1;Beetle;6
k6_2;Beetle;6
k6_3;Beetle;6
k6_4;Beetle;6
k6_5;Beetle;6
k7_1;Beetle;7
k7_2;Beetle;7
k7_3;Beetle;7
k7_4;Beetle;7
k7_5;Beetle;7
k8_1;Beetle;8
k8_2;Beetle;8
k8_3;Beetle;8
k8_4;Beetle;8
k8_5;Beetle;8
k9_1;Beetle;9
k9_2;Beetle;9
k9_3;Beetle;9
k9_4;Beetle;9
k9_5;Beetle;9
l10;Leaf;10
l11;Leaf;11
l12;Leaf;12
l13;Leaf;13
l14;Leaf;14
l15;Leaf;15
l16;Leaf;16
l17;Leaf;17
l18;Leaf;18
l19;Leaf;19
l1;Leaf;1
l2;Leaf;2
l4;Leaf;4
l6;Leaf;6
l7;Leaf;7
